net_type,system,activation,steps_ahead,Nodes_prop,Nodes_tot,Edges_prop,Edges_tot,Triangles_prop,Triangles_tot,Squares_prop,Squares_tot
lorenz,lorenz,linear,1,0.4477611940298507,60,0.0149253731343283,2,0.5149253731343284,69,0.0223880597014925,3
lorenz,lorenz,linear,2,0.6230366492146597,119,0.0471204188481675,9,0.3246073298429319,62,0.0052356020942408,1
lorenz,lorenz,linear,3,0.3937007874015748,50,0.0708661417322834,9,0.3622047244094488,46,0.1732283464566929,22
lorenz,lorenz,linear,4,0.303030303030303,40,0.0757575757575757,10,0.4090909090909091,54,0.2121212121212121,28
lorenz,lorenz,linear,5,0.2941176470588235,60,0.0735294117647058,15,0.4950980392156863,101,0.1372549019607843,28
lorenz,lorenz,linear,6,0.1515151515151515,20,0.1136363636363636,15,0.4469696969696969,59,0.2878787878787879,38
lorenz,lorenz,linear,7,0.1397058823529411,19,0.1102941176470588,15,0.4264705882352941,58,0.3235294117647059,44
lorenz,lorenz,linear,8,0.0615384615384615,8,0.123076923076923,16,0.4692307692307692,61,0.3461538461538461,45
lorenz,lorenz,linear,9,0.0708661417322834,9,0.1181102362204724,15,0.4566929133858268,58,0.3543307086614173,45
lorenz,lorenz,linear,10,0.0793650793650793,5,0.1746031746031746,11,0.4444444444444444,28,0.3015873015873015,19
lorenz,lorenz,linear,11,0.0862068965517241,5,0.1724137931034483,10,0.4827586206896552,28,0.2586206896551724,15
lorenz,lorenz,linear,12,0.1034482758620689,6,0.1724137931034483,10,0.4482758620689655,26,0.2758620689655172,16
lorenz,lorenz,linear,13,0.1041666666666666,5,0.1458333333333333,7,0.4791666666666667,23,0.2708333333333333,13
lorenz,lorenz,linear,14,0.0952380952380952,6,0.1746031746031746,11,0.4444444444444444,28,0.2857142857142857,18
lorenz,lorenz,linear,15,0.0862068965517241,5,0.1551724137931034,9,0.4655172413793103,27,0.293103448275862,17
lorenz,lorenz,linear,16,0.1,5,0.18,9,0.44,22,0.28,14
lorenz,lorenz,linear,17,0.08,4,0.16,8,0.46,23,0.3,15
lorenz,lorenz,linear,18,0.125,4,0.09375,3,0.5625,18,0.21875,7
lorenz,lorenz,linear,19,0.1111111111111111,5,0.1333333333333333,6,0.4666666666666667,21,0.2888888888888888,13
lorenz,lorenz,linear,20,0.0943396226415094,5,0.1698113207547169,9,0.4339622641509434,23,0.3018867924528302,16
lorenz,lorenz,linear,21,0.0892857142857142,5,0.1607142857142857,9,0.4285714285714285,24,0.3214285714285714,18
lorenz,lorenz,linear,22,0.0754716981132075,4,0.1698113207547169,9,0.3962264150943396,21,0.3584905660377358,19
lorenz,lorenz,linear,23,0.1052631578947368,4,0.131578947368421,5,0.4736842105263157,18,0.2894736842105263,11
lorenz,lorenz,linear,24,0.1,4,0.075,3,0.5,20,0.325,13
lorenz,lorenz,linear,25,0.1029411764705882,7,0.1323529411764706,9,0.3970588235294117,27,0.3676470588235294,25
lorenz,rossler,tanh,1,0.5387931034482759,125,0.0,0,0.4568965517241379,106,0.0043103448275862,1
lorenz,rossler,tanh,5,0.1737089201877934,37,0.0845070422535211,18,0.4131455399061033,88,0.3286384976525822,70
lorenz,rossler,tanh,9,0.0613496932515337,10,0.1226993865030674,20,0.3680981595092024,60,0.4478527607361963,73
lorenz,rossler,tanh,13,0.0662251655629139,10,0.1125827814569536,17,0.3576158940397351,54,0.4635761589403973,70
lorenz,rossler,tanh,17,0.0709677419354838,11,0.1096774193548387,17,0.3935483870967742,61,0.4258064516129032,66
lorenz,rossler,tanh,21,0.0636942675159235,10,0.1210191082802547,19,0.3375796178343949,53,0.4777070063694267,75
lorenz,rossler,tanh,25,0.0691823899371069,11,0.1132075471698113,18,0.3584905660377358,57,0.4591194968553459,73
lorenz,rossler,tanh,29,0.0616438356164383,9,0.1164383561643835,17,0.3356164383561644,49,0.4863013698630137,71
lorenz,rossler,tanh,33,0.0532544378698224,9,0.1242603550295858,21,0.3609467455621302,61,0.4615384615384615,78
lorenz,rossler,tanh,37,0.0596026490066225,9,0.1125827814569536,17,0.3642384105960264,55,0.4635761589403973,70
lorenz,rossler,tanh,41,0.0636942675159235,10,0.1273885350318471,20,0.3248407643312102,51,0.4840764331210191,76
lorenz,rossler,tanh,45,0.0419161676646706,7,0.1017964071856287,17,0.3413173652694611,57,0.5149700598802395,86
lorenz,rossler,tanh,49,0.0542168674698795,9,0.1265060240963855,21,0.3192771084337349,53,0.5,83
lorenz,rossler,tanh,53,0.0584415584415584,9,0.1168831168831168,18,0.3116883116883117,48,0.512987012987013,79
lorenz,rossler,tanh,57,0.0575539568345323,8,0.0863309352517985,12,0.3453237410071942,48,0.5107913669064749,71
lorenz,rossler,tanh,61,0.0542168674698795,9,0.1204819277108433,20,0.3554216867469879,59,0.4698795180722891,78
lorenz,rossler,tanh,65,0.0547945205479452,8,0.1027397260273972,15,0.3493150684931507,51,0.4931506849315068,72
lorenz,rossler,tanh,69,0.0496894409937888,8,0.1180124223602484,19,0.3291925465838509,53,0.5031055900621118,81
lorenz,rossler,tanh,73,0.0632911392405063,10,0.1012658227848101,16,0.3481012658227848,55,0.4873417721518987,77
