net_size,activation,train_size,steps_ahead,noise,leakage,edges,triangles,squares,k_opt,a-6.0,a-5.0,a-4.0,a-3.0,a-2.0,a-1.0,a0.0,s_90a-6.0,s_99a-6.0,s_90a-5.0,s_99a-5.0,s_90a-4.0,s_99a-4.0,s_90a-3.0,s_99a-3.0,s_90a-2.0,s_99a-2.0,s_90a-1.0,s_99a-1.0,s_90a0.0,s_99a0.0
3,tanh,10000,1,na,1,False,False,False,2,-0.823898210777833,-0.8274636883844487,-0.8605792732006227,-0.990210417525264,-0.7999172954231002,-0.7269566436105932,-0.7147754598001117,2,2,2,2,2,2,0,2,1,2,1,2,1,2
5,tanh,10000,1,na,1,False,False,False,4,0.4037485075139864,0.4176930198151951,0.3263356421800475,0.1656666478909575,0.2697155190133723,0.2230346499337366,0.173375469083809,3,4,3,4,4,4,3,4,4,4,4,4,4,4
6,tanh,10000,1,na,1,False,False,False,5,-0.5367888566494743,-0.4226133443027068,-0.1147490558061511,0.2520084265049273,0.1108361851759944,-0.2137561048270351,-0.2625189803565123,3,4,4,5,5,5,3,4,3,5,4,5,5,5
7,tanh,10000,1,na,1,False,False,False,6,0.1710472178609026,0.1311688365548162,-0.131463124874327,-0.2045375824229998,-0.0826300132347696,-0.0245365078896174,-0.0184938415013999,3,6,2,5,3,6,3,5,6,6,6,6,6,6
10,tanh,10000,1,na,1,False,False,False,9,-0.1986510150279168,-0.3810326973718319,-0.0626033452870267,-0.0169997744329004,-0.0113970543335477,-0.0012465335051074,-0.0081290888760211,7,9,5,7,7,9,9,9,8,9,8,9,8,9
12,tanh,10000,1,na,1,False,False,False,10,-0.0104040172272778,0.0566376644867058,0.1200074875809132,0.1018115415805039,0.0635911251008156,-0.0186532179136051,0.0005235690212432,7,11,7,11,10,11,8,11,10,11,10,10,10,11
15,tanh,10000,1,na,1,False,False,False,14,-0.2095902978795496,-0.1314275477877662,0.0419823840914593,0.0876461773025916,-0.0184269427824555,-0.0281742753388508,0.0066140139315034,10,14,11,14,12,13,10,14,10,14,14,14,14,14
19,tanh,10000,1,na,1,False,False,False,18,0.0003756652840704,-0.007883449874278,-0.0016299091981684,0.0200566942713221,0.1019669451560151,-0.0070343485115564,-0.04191122336218,14,18,10,17,11,17,13,17,14,18,17,18,16,18
25,tanh,10000,1,na,1,False,False,False,23,-0.08102217486512,-0.1534551670117515,-0.1244557291343709,-0.107094766318424,-0.1556615162787034,-0.1124010765224747,-0.0791188004041439,17,23,18,23,18,23,20,23,18,23,23,24,23,24
31,tanh,10000,1,na,1,False,False,False,21,0.1191623025787532,0.0488149376700368,0.0080319636065615,0.0056311442516032,0.0081908521689151,-0.0430987569806364,-0.0061586963940269,24,29,22,29,18,28,23,28,23,30,24,30,26,29
39,tanh,10000,1,na,1,False,False,False,31,-0.0724122836224969,-0.0193175889651661,0.0314124911730304,-0.0842284834012302,-0.1469460825305943,-0.0640485551189403,0.0178786955572359,31,38,27,37,27,36,30,37,32,38,29,37,32,37
50,tanh,10000,1,na,1,False,False,False,45,0.0817516035354103,0.0704218379997601,-0.0439504038920002,-0.1053439400259466,-0.0884709051369053,0.0037091635716354,0.0041419660587197,38,47,37,48,28,46,31,45,34,47,42,46,45,48
63,tanh,10000,1,na,1,False,False,False,21,-0.0945557466759702,0.0475230287362974,-0.0135054608561596,-0.0786258589270895,-0.1462494113384962,-0.1521267219328429,-0.1461942348411714,41,57,38,59,43,61,45,58,50,60,54,59,57,62
79,tanh,10000,1,na,1,False,False,False,76,0.0293844344362807,-0.0023572177218756,-0.046460172718583,0.0030441847918331,0.0017569839219962,-0.0309735083532314,-0.0130488471187369,64,77,60,74,59,71,56,73,55,73,63,76,72,78
100,tanh,10000,1,na,1,False,False,False,29,-0.0539101122809144,-0.0564994914212079,-0.0398279039924819,-0.0047387190004374,-0.0559917511524937,-0.0461376732677901,-0.0311956591623759,72,94,68,93,64,93,74,95,75,95,81,97,90,98
