T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49
1,155,358,558,192,653,800,730,184,973,289,454,357,977,976,810,399,808,434,4,537,818,794,32,628,762,364,405,974,802,37,41,621,645,95,665,385,732,107,117,306,719,596,321,98,207,755,452,384,409
380,89,88,648,420,723,572,729,804,612,811,765,707,400,168,882,395,993,856,812,480,471,475,254,720,658,9,647,21,961,753,944,897,370,247,374,607,713,567,532,118,364,456,239,555,862,737,947,328,850
253,355,83,109,255,608,607,620,975,338,951,588,811,839,477,837,239,710,137,905,827,825,954,73,520,401,486,41,844,254,824,224,419,565,535,614,793,597,240,147,251,950,247,496,167,491,590,907,668,111
219,795,525,16,490,929,242,698,51,716,326,56,317,526,551,831,401,878,675,48,524,538,512,290,6,29,903,707,891,502,302,913,31,982,575,768,811,15,588,978,14,217,546,636,857,678,282,706,369,824
53,651,786,884,380,451,977,11,624,94,465,961,13,823,813,503,659,986,763,382,868,722,990,645,585,580,546,385,926,788,615,73,438,579,997,150,123,560,572,452,0,975,331,771,119,908,827,978,505,576
686,40,38,45,801,225,619,296,395,608,144,900,398,852,853,336,477,316,97,54,291,616,893,400,65,916,930,716,962,180,629,928,895,59,18,571,197,866,990,695,16,194,47,573,691,886,845,718,533,96
898,955,777,645,331,842,906,299,942,963,982,283,641,796,110,99,736,46,416,967,154,349,199,927,212,407,779,882,769,95,696,694,660,730,235,581,902,269,663,291,423,13,812,230,255,42,48,502,121,256
541,878,68,291,712,518,656,174,934,704,883,452,872,6,513,208,582,402,245,305,832,209,335,884,804,942,384,338,219,373,749,173,612,543,330,454,383,793,79,132,815,889,310,782,750,387,57,22,948,678
956,131,358,982,796,388,776,965,234,512,386,600,488,703,190,704,285,741,972,990,647,671,842,881,569,568,12,406,76,222,176,955,690,139,90,932,170,719,210,834,691,940,904,78,347,567,500,654,470,166
133,884,310,591,140,177,493,932,320,562,3,972,162,265,284,682,817,510,30,355,20,936,997,475,907,836,990,749,547,934,859,767,723,545,621,363,86,789,704,602,347,646,560,763,253,148,359,839,164,260
577,47,514,393,230,357,380,493,111,777,547,872,128,800,695,286,987,6,832,542,129,478,694,168,316,482,351,854,876,982,666,216,568,712,287,384,623,110,797,142,143,550,863,386,576,919,973,958,725,554
591,592,32,466,226,410,778,857,501,536,894,542,669,681,766,11,58,953,371,448,86,609,423,932,393,509,966,486,82,632,957,148,81,612,588,242,520,597,83,656,100,606,846,142,35,92,29,943,896,577
725,807,610,618,851,123,699,827,924,43,621,292,955,324,809,491,364,485,439,903,323,372,161,63,902,728,305,567,604,630,321,868,474,787,429,500,213,929,627,41,974,612,264,40,135,107,799,803,293,287
933,826,251,545,106,291,768,711,39,985,62,232,769,662,309,244,639,71,337,615,850,46,10,297,770,209,764,466,526,120,336,926,507,377,698,902,65,219,949,473,646,762,104,199,655,803,565,577,798,692
814,821,804,11,534,474,402,887,904,531,553,17,401,556,229,578,489,707,864,30,683,198,791,646,251,997,878,840,582,316,156,65,989,685,539,757,895,202,413,372,673,704,379,462,26,242,568,711,304,992
80,171,779,363,411,585,69,200,275,950,123,960,681,885,735,438,274,915,554,677,738,751,443,479,728,163,832,800,652,594,626,798,570,987,631,272,895,281,797,839,269,747,23,76,45,391,618,535,991,931
826,961,315,312,722,466,625,214,389,233,765,244,387,982,296,46,763,798,730,903,320,226,715,864,973,964,771,688,106,618,644,696,164,379,201,784,795,92,85,395,59,650,181,619,98,117,933,146,247,762
213,423,686,744,187,10,53,481,442,409,91,478,824,677,678,438,826,484,11,848,279,190,598,882,759,968,39,41,390,981,858,308,526,4,336,474,775,159,354,980,900,536,240,72,452,75,231,553,281,119
865,934,928,745,923,141,60,325,104,102,265,858,938,877,516,635,223,261,642,788,295,654,326,825,283,636,274,388,70,724,193,899,510,857,157,973,202,181,551,465,998,578,418,783,970,910,734,243,894,150
