T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,T_96,T_97,T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,T_106,T_107,T_108,T_109,T_110,T_111,T_112,T_113,T_114,T_115,T_116,T_117,T_118,T_119,T_120,T_121,T_122,T_123,T_124,T_125,T_126,T_127,T_128,T_129,T_130,T_131,T_132,T_133,T_134,T_135,T_136,T_137,T_138,T_139,T_140,T_141,T_142,T_143,T_144,T_145,T_146,T_147,T_148,T_149,T_150,T_151,T_152,T_153,T_154,T_155,T_156,T_157,T_158,T_159,T_160,T_161,T_162,T_163,T_164,T_165,T_166,T_167,T_168,T_169,T_170,T_171,T_172,T_173,T_174,T_175,T_176,T_177,T_178,T_179,T_180,T_181,T_182,T_183,T_184,T_185,T_186,T_187,T_188,T_189,T_190,T_191,T_192,T_193,T_194,T_195,T_196,T_197,T_198,T_199,T_200,T_201,T_202,T_203,T_204,T_205,T_206,T_207,T_208,T_209,T_210,T_211,T_212,T_213,T_214,T_215,T_216,T_217,T_218,T_219,T_220,T_221,T_222,T_223,T_224,T_225,T_226,T_227,T_228,T_229,T_230,T_231,T_232,T_233,T_234,T_235,T_236,T_237,T_238,T_239,T_240,T_241,T_242,T_243,T_244,T_245,T_246,T_247,T_248,T_249,T_250,T_251,T_252,T_253,T_254,T_255,T_256,T_257,T_258,T_259,T_260,T_261,T_262,T_263,T_264,T_265,T_266,T_267,T_268,T_269,T_270,T_271,T_272,T_273,T_274,T_275,T_276,T_277,T_278,T_279,T_280,T_281,T_282,T_283,T_284,T_285,T_286,T_287,T_288,T_289,T_290,T_291,T_292,T_293,T_294,T_295,T_296,T_297,T_298,T_299,T_300,T_301
509,714,644,301,627,945,504,929,602,387,433,232,453,282,510,287,852,69,793,932,637,538,721,802,274,699,571,194,501,842,846,267,145,430,286,388,683,988,511,8,523,362,774,0,166,508,640,487,957,944,809,102,435,197,284,931,708,749,516,389,753,391,767,909,603,811,412,542,75,378,44,530,395,632,339,330,463,3,298,763,655,935,769,973,604,910,751,95,341,234,880,56,181,744,347,606,186,373,262,524,959,954,798,212,132,139,808,515,199,806,994,52,41,810,778,741,50,98,278,431,407,125,46,871,305,427,107,566,917,755,249,786,368,986,63,974,196,400,154,673,875,521,502,173,121,176,635,657,739,290,748,684,394,645,396,113,273,911,476,477,750,104,745,82,779,731,299,167,681,529,49,54,257,495,949,280,324,244,694,518,37,942,562,507,964,622,266,90,512,418,790,505,161,801,765,119,310,406,191,291,975,526,209,519,307,572,575.0,870.0,872.0,9.0,268.0,868.0,941.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,822,413,62,951,857,811,186,321,771,393,608,311,797,915,886,105,902,947,229,864,468,427,563,779,136,621,263,69,861,77,853,182,966,792,472,405,610,934,140,196,957,234,660,538,511,834,226,601,950,788,301,84,776,34,73,101,264,668,440,109,628,846,359,565,134,298,344,691,855,722,369,741,385,59,171,495,38,909,107,395,262,750,403,684,802,849,828,211,180,532,308,617,270,408,567,774,98,692,181,710,623,777,261,534,290,841,441,732,876,104,624,542,781,611,194,399,518,637,785,514,643,22,622,368,727,289,295,805,530,629,300,382,918,320,316,706,510,416,519,328,183,4,667,141,920,79,953,926,616,66,987,139,0,190,377,58,948,551,461,704,814,18,338,455,138,554,916,977,607,745,905,683,174,521,955,150,770,939,618,695,862,9,536,922,195,96,169,106,844,302,775,975,889,324,299,281,718,439,259,564,292,285,620,36,850,778.0,632.0,630.0,697.0,529.0,103.0,820.0,829.0,499.0,597.0,108.0,615.0,112.0,87.0,201.0,29.0,7.0,235.0,411.0,197.0,280.0,883.0,173.0,64.0,241.0,238.0,309.0,906.0,132.0,430.0,386.0,81.0,444.0,533.0,407.0,539.0,352.0,318.0,467.0,783.0,964.0,859.0,702.0,990.0,766.0,380.0,884.0,813.0,17.0,605.0,445.0,976.0,972.0,609.0,694.0,790.0,37.0,361.0,135.0,535.0,443.0,888.0,323.0,288.0,747.0,626.0,155.0,941.0,128.0,60.0,404.0,387.0,56.0,556.0,110.0,191.0,838.0,480.0,765.0,,,,,,,,,,,,,,,,,
656,827,369,578,129,823,569,87,291,844,952,405,358,339,116,134,553,945,813,176,475,415,984,158,718,590,949,955,583,758,464,83,155,170,471,22,550,940,976,49,423,259,373,29,141,544,153,515,538,102,485,365,160,325,524,649,193,410,121,486,560,295,856,16,274,282,581,320,159,556,950,657,668,589,469,595,972,563,766,484,389,788,520,414,70,326,371,548,837,838,931,946,845,513,941,133,262,164,584,829,284,559,23,168,751,148,704,500,401,14,28,577,562,447,816,798,60,94,309,603,507,682,857,650,669,175,983,130,580,517,177,202,663,621,166,261,875,867,10,117,69,822,956,92,356,893,269,564,142,666,741,828,847,953,853,99,55,95,413,900,119,539,820,275,115,285,397,383,374,56,419,77,927,32,57,334,693,296,930,21,479,997,242,149,292,165,13,824,196,293,372,136,225,680,545,908,901,579,742,561,368,392,662,948,15,780,268.0,861.0,612.0,535.0,980.0,961.0,103.0,739.0,684.0,664.0,245.0,576.0,313.0,786.0,778.0,591.0,818.0,476.0,566.0,543.0,457.0,804.0,497.0,111.0,59.0,88.0,125.0,555.0,510.0,519.0,691.0,516.0,27.0,836.0,36.0,665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,507,745,619,694,584,358,309,470,102,654,947,952,514,205,589,247,751,574,183,976,138,126,151,892,787,629,468,758,70,157,59,646,111,591,747,17,844,663,36,314,3,954,951,977,862,269,150,672,442,359,719,999,446,408,371,583,588,757,10,573,490,340,99,760,934,928,744,623,613,91,575,580,839,495,261,685,746,430,318,786,403,418,437,530,504,510,445,469,513,158,674,935,226,380,569,557,516,843,811,252,535,254,368,891,199,901,959,505,634,653,586,821,873,818,698,949,379,986,931,531,55,641,975,537,303,925,321,957,129,829,980,310,108,149,301,7,351,426,592,942,636,943,501,896,512,243,655,933,330,579,120,221,743,96,726,186,930,227,266,297,272,268,170,353,69,568,257,112,609,684,366,750,386,626,472,538,783,506,304,46,320,105,363,590,955,53,215,128,536,35,94,950,671,595,367,856,712,224,381,159,27,953,475,748,868,749.0,187.0,317.0,676.0,682.0,140.0,452.0,648.0,135.0,838.0,185.0,686.0,773.0,58.0,11.0,72.0,76.0,115.0,752.0,779.0,370.0,372.0,620.0,669.0,688.0,41.0,727.0,637.0,793.0,656.0,344.0,982.0,293.0,33.0,425.0,932.0,804.0,511.0,251.0,497.0,125.0,30.0,23.0,824.0,570.0,735.0,50.0,865.0,841.0,478.0,756.0,204.0,356.0,180.0,481.0,823.0,24.0,831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,940,523,468,173,235,48,675,537,356,747,222,322,137,429,841,878,690,682,765,280,68,671,870,132,952,676,397,403,993,824,862,408,942,688,502,868,759,152,505,935,110,274,958,679,703,392,317,769,511,381,20,498,825,944,975,57,932,710,716,760,991,605,791,750,826,519,534,320,318,764,527,683,936,232,834,752,687,367,503,45,757,879,275,385,321,81,135,334,854,487,611,474,969,73,124,691,871,827,837,751,589,177,681,37,896,707,894,721,151,285,461,889,51,112,476,146,990,754,549,876,515,210,401,33,674,864,501,915,341,745,342,599,364,103,727,775,770,885,890,257,787,148,453,768,316,525,669,407,859,389,513,807,693,746,733,956,979,977,144,377,343,483,245,531,925,929,898,7,361,943,89,938,783,309,996,755,369,282,758,402,319,23,544,277,375,114,315,897,766,36,330,798,456,452,678,645,140,365,44,828,35,895,842,506,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,725,132,890,435,474,515,494,478,527,416,18,847,979,438,37,307,666,486,352,878,823,403,248,420,965,55,483,344,490,793,255,427,340,668,141,64,539,240,580,439,411,531,245,36,402,714,546,492,120,655,959,61,384,697,925,289,475,406,434,244,136,729,596,250,556,437,257,862,810,331,123,984,144,268,81,32,300,889,571,523,637,569,696,436,313,723,924,663,128,53,683,910,234,111,184,353,387,72,992,56,794,399,574,239,497,254,133,350,98,943,59,977,349,329,125,768,413,423,104,480,29,243,246,662,996,445,251,241,749,288,397,213,672,122,887,567,258,62,146,309,471,306,598,525,929,826,493,441,538,418,405,879,658,661,665,495,594,568,709,945,967,612,227,939,741,846,518,971,38,562,318,458,60,63,536,700,472,670,167,247,570,956,828,189,332,183,180,143,95,401,981,944,446,409,747,510,455,21,722,15,622,590,287,703,545,39.0,815.0,476.0,314.0,147.0,575.0,360.0,190.0,242.0,129.0,975.0,31.0,33.0,198.0,417.0,28.0,819.0,985.0,131.0,256.0,710.0,262.0,704.0,829.0,341.0,485.0,299.0,386.0,549.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,511,811,908,747,753,111,336,727,502,524,736,464,368,61,949,497,588,968,785,514,574,7,808,404,728,740,584,76,965,527,616,192,313,412,456,707,920,729,70,24,637,174,552,239,900,790,500,60,880,68,337,478,671,339,735,319,954,817,738,602,529,912,242,725,74,942,649,526,488,175,665,807,815,117,866,361,99,503,4,427,226,533,568,66,755,798,549,762,69,209,741,148,923,905,931,54,364,801,507,240,374,695,873,631,480,600,530,542,843,610,864,40,981,737,781,195,677,961,890,71,744,272,840,784,528,59,821,186,177,816,257,990,933,897,238,947,803,23,476,351,885,685,14,17,575,964,606,651,938,927,692,869,783,851,812,675,469,777,739,516,748,250,145,310,139,538,742,881,283,562,452,46,445,515,513,593,608,491,546,75,554,439,573,969,501,407,795,800,548,185,782,219,413,940,302,754,260,3,642,39,356,299,809,173,182,780.0,27.0,143.0,309.0,142.0,228.0,504.0,957.0,118.0,10.0,13.0,650.0,467.0,466.0,757.0,563.0,805.0,587.0,750.0,768.0,688.0,151.0,571.0,589.0,62.0,558.0,279.0,973.0,975.0,907.0,899.0,925.0,929.0,771.0,16.0,243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,579,262,417,178,428,839,636,277,392,58,852,597,172,112,180,286,829,489,900,940,753,993,130,49,945,610,487,777,794,835,837,66,762,462,849,853,315,89,418,63,913,292,923,21,631,0,74,324,106,553,337,575,787,660,512,70,615,606,845,943,628,877,347,530,744,230,245,71,105,111,488,722,325,238,4,752,65,131,780,109,1,83,916,786,620,848,834,604,430,313,23,973,283,890,183,268,491,593,828,882,844,734,792,69,62,136,602,608,937,328,211,75,987,108,364,387,287,725,190,468,330,983,704,666,526,301,867,648,173,17,902,499,114,2,352,840,298,251,524,892,239,139,772,326,531,157,90,781,181,333,748,566,331,375,433,193,199,67,891,614,689,61,398,638,264,790,483,80,708,177,232,429,605,600,880,778,770,920,480,259,453,960,874,889,561,229,838,6,191,619,509,827,440,818,35,36,213,864,469,363,609,92,409,77,581,207.0,899.0,723.0,850.0,386.0,426.0,855.0,639.0,198.0,570.0,310.0,280.0,273.0,567.0,508.0,617.0,821.0,395.0,194.0,665.0,464.0,11.0,676.0,667.0,756.0,641.0,397.0,201.0,158.0,117.0,243.0,714.0,3.0,79.0,288.0,948.0,192.0,228.0,918.0,327.0,494.0,726.0,127.0,54.0,740.0,338.0,925.0,870.0,824.0,759.0,978.0,14.0,304.0,295.0,842.0,314.0,933.0,13.0,463.0,928.0,540.0,244.0,800.0,754.0,751.0,576.0,745.0,505.0,903.0,527.0,408.0,773.0,344.0,86.0,307.0,19.0,957.0,182.0,658.0,355.0,592.0,520.0,146.0,826.0,690.0,174.0,10.0,332.0,336.0,833.0,709.0,176.0,706.0,672.0,642.0,589.0
788,956,827,843,54,969,659,987,396,999,953,558,962,567,170,260,277,285,972,415,348,25,958,296,569,369,687,649,434,982,727,55,157,60,858,408,763,400,126,791,729,967,562,103,527,954,22,868,847,87,512,346,44,219,168,559,411,155,484,378,835,77,984,53,191,417,485,462,162,938,39,882,24,372,84,970,443,451,306,209,600,950,748,334,228,755,619,795,555,358,535,437,774,166,845,749,960,496,661,739,23,557,383,790,762,511,650,647,86,213,546,716,708,329,233,623,295,850,839,41,712,910,235,872,467,564,102,169,321,728,508,570,59,730,56,71,602,776,362,554,973,395,449,575,682,615,753,948,643,322,856,161,591,442,660,745,621,860,672,585,38,186,439,714,121,812,447,966,556,750,460,424,824,741,968,654,694,128,297,572,210,549,705,381,792,646,414,31,158,918,326,829,91,261,963,167,864,335,631,182,732,253,648,980,367,441,407.0,883.0,345.0,743.0,226.0,482.0,444.0,747.0,377.0,291.0,852.0,685.0,836.0,751.0,165.0,10.0,301.0,722.0,426.0,365.0,993.0,468.0,563.0,419.0,979.0,493.0,582.0,8.0,832.0,568.0,238.0,798.0,458.0,207.0,934.0,530.0,697.0,916.0,33.0,574.0,325.0,85.0,404.0,506.0,473.0,965.0,842.0,88.0,815.0,181.0,171.0,298.0,800.0,978.0,45.0,435.0,756.0,339.0,244.0,913.0,185.0,196.0,854.0,844.0,794.0,695.0,614.0,612.0,789.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,773,8,120,867,272,734,495,102,71,843,767,523,783,401,500,34,145,728,850,172,508,605,858,225,897,676,206,24,391,931,111,527,808,481,46,775,800,177,511,739,384,540,1,359,355,493,39,913,316,877,170,884,141,738,974,369,844,899,929,890,36,613,311,953,970,925,945,826,987,977,32,627,711,313,236,765,164,373,463,908,740,543,534,860,372,510,567,195,487,312,921,207,75,737,422,973,10,134,115,525,700,69,571,74,882,411,930,936,252,791,924,857,519,853,368,42,810,774,277,100,124,874,869,398,961,863,764,965,270,533,167,210,638,886,715,49,148,212,366,13,198,306,67,772,972,325,35,171,859,895,766,762,58,839,357,758,353,15,911,851,915,898,308,232,502,28,705,537,570,497,507,959,421,754,985,153,609,498,776,328,606,273,492,835,455,392,453,263,226,386,842,691,730,271,364,136,370,86,79,954,906,231,861,852,583,854.0,753.0,51.0,720.0,162.0,724.0,365.0,713.0,989.0,132.0,923.0,811.0,593.0,780.0,960.0,689.0,452.0,446.0,358.0,163.0,199.0,840.0,121.0,78.0,414.0,140.0,47.0,179.0,367.0,178.0,374.0,572.0,763.0,418.0,504.0,632.0,220.0,856.0,397.0,971.0,619.0,233.0,305.0,291.0,465.0,598.0,399.0,224.0,642.0,251.0,44.0,742.0,146.0,19.0,150.0,708.0,876.0,243.0,891.0,342.0,564.0,317.0,809.0,978.0,645.0,505.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
