T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49
358,857,514,870,960,536,554,813,449,141,619,767,440,388,643,457,38,297,377,709,0,275,572,489,9,846,18,450,233,593,650,656,136,542,338,467,614,558,62,968,458,983,752,555,588,187,294,444,459,615
80,326,474,797,911,998,151,248,943,322,764,956,935,627,38,726,167,273,328,372,746,137,113,859,634,396,952,375,281,818,681,744,663,14,841,269,439,89,261,477,689,45,251,901,284,165,953,436,992,967
50,587,133,247,493,157,194,564,929,704,608,361,857,725,615,270,346,450,683,803,619,666,395,502,449,941,153,612,126,396,735,294,402,156,728,195,94,955,299,884,974,885,427,497,949,783,538,240,753,821
10,472,830,578,483,18,168,566,934,571,267,371,741,482,517,281,129,32,574,637,898,676,888,997,595,654,432,520,792,936,591,875,97,17,771,697,491,277,689,999,635,128,806,763,808,721,11,36,258,212
358,506,906,618,415,130,23,461,470,198,459,915,983,836,871,142,623,553,583,694,695,563,909,335,660,334,731,690,371,115,493,521,241,822,447,662,209,171,76,412,67,450,817,281,187,112,29,737,584,32
815,252,986,712,222,132,476,613,714,765,852,198,991,178,259,528,271,451,188,599,533,744,683,114,690,851,767,346,869,424,242,697,889,79,407,790,988,796,335,929,826,465,830,459,211,575,337,918,281,706
261,241,90,335,14,935,245,482,392,475,48,8,386,26,513,314,338,626,985,171,971,350,57,983,77,380,905,688,315,672,529,840,357,680,811,150,216,384,452,994,416,96,799,717,936,704,30,898,748,431
715,475,436,328,823,75,44,167,877,354,444,94,441,1,178,535,378,292,175,574,979,174,540,14,934,880,449,740,997,106,193,798,524,893,508,486,994,400,870,962,425,619,402,483,888,649,770,123,530,544
689,423,279,301,606,284,601,5,486,636,885,804,455,937,12,256,147,384,822,159,172,818,629,813,234,704,392,393,614,985,389,900,815,200,205,808,558,459,647,318,450,656,65,357,949,540,267,766,360,182
857,786,590,17,977,217,489,510,891,276,257,704,114,485,573,701,305,972,926,685,640,919,622,801,379,188,502,14,501,369,451,130,666,127,136,461,271,736,544,574,562,804,48,299,327,619,383,893,87,670
757,590,846,911,632,643,923,125,123,995,849,670,561,579,906,588,793,758,693,433,647,892,677,577,805,158,756,243,387,602,272,160,495,990,400,934,547,826,545,300,390,707,555,102,411,787,815,882,629,963
527,753,525,557,712,173,339,727,280,673,184,204,4,782,802,401,973,839,964,675,596,447,244,748,882,785,121,553,26,419,857,639,480,423,82,619,561,129,581,459,988,37,929,930,119,627,629,20,321,332
792,603,160,337,796,794,359,529,340,260,715,670,200,549,334,634,649,755,162,199,884,762,791,582,853,173,535,694,852,329,654,6,369,379,56,233,735,655,365,534,553,24,332,457,565,505,606,704,504,193
662,919,751,609,595,598,36,643,676,702,563,80,205,486,477,424,423,606,825,631,198,249,276,774,40,562,838,331,83,684,999,291,47,130,544,747,473,370,877,841,716,852,943,850,902,964,324,69,67,332
372,722,143,564,608,145,278,423,314,609,495,158,76,422,78,298,999,676,126,75,540,464,822,175,523,435,46,45,297,343,639,329,760,307,713,863,369,178,134,342,206,1,943,71,152,977,525,270,771,522
998,229,997,676,768,347,3,597,207,206,380,873,868,71,683,24,208,434,511,122,964,21,359,308,879,306,361,516,653,11,258,31,34,205,724,50,88,89,26,54,521,995,978,672,58,571,241,991,201,160
18,87,680,95,464,253,647,572,254,635,171,601,261,602,154,469,874,163,632,620,264,323,310,653,260,961,544,678,156,805,470,556,781,305,433,86,780,603,329,997,539,97,627,432,389,378,468,705,848,327
488,460,640,70,744,215,762,101,611,176,210,48,927,526,928,949,484,756,555,759,75,984,198,330,850,833,844,953,583,32,399,289,942,777,878,389,196,874,380,875,835,259,831,192,810,167,452,936,836,147
119,432,676,631,568,413,479,332,591,599,338,617,91,488,505,661,737,627,32,502,728,554,891,968,15,765,163,328,83,104,972,3,16,135,228,19,446,421,745,810,74,474,563,730,292,85,582,210,142,207
847,896,405,638,573,312,924,99,25,126,934,124,72,265,823,263,224,897,2,816,409,676,879,537,32,599,88,787,437,624,789,817,392,728,885,703,707,818,684,213,665,699,271,940,849,71,26,128,70,596
868,116,311,547,351,360,347,926,403,171,192,458,572,552,643,380,593,890,770,903,246,59,297,727,481,546,511,515,321,854,775,821,586,201,998,962,236,194,809,859,915,248,459,274,782,795,473,34,794,704
68,154,906,894,902,96,329,821,531,304,384,706,876,860,870,799,900,470,897,858,204,101,444,160,327,162,284,113,556,645,841,705,545,549,911,497,501,418,776,832,174,185,480,975,537,474,84,680,827,868
514,851,916,958,704,483,973,592,398,437,673,91,105,278,582,536,451,414,758,144,148,44,548,5,753,97,15,774,381,979,4,532,305,839,570,891,739,18,962,748,692,299,695,841,223,555,454,351,88,211
163,432,368,9,220,453,96,449,550,495,603,327,812,813,313,820,647,224,446,876,409,325,796,49,934,983,104,222,500,606,746,11,301,471,618,261,74,52,921,834,933,115,474,28,912,862,871,198,559,12
429,886,111,272,872,276,409,285,198,882,195,428,417,282,179,356,274,883,482,244,767,235,903,457,300,250,397,311,283,866,289,576,301,303,156,172,695,357,581,88,432,281,871,354,571,773,157,427,394,330
263,914,198,531,974,131,84,888,115,49,171,50,535,390,986,735,718,53,101,962,292,425,987,910,104,32,34,766,28,744,155,185,579,299,517,723,454,536,855,994,935,144,29,431,232,865,36,593,838,67
281,734,436,183,619,963,888,229,610,14,279,693,544,132,383,119,842,988,787,755,944,616,487,66,79,730,90,68,40,990,920,778,324,647,222,113,386,174,682,374,872,107,270,294,887,497,565,620,35,208
823,999,52,114,662,536,905,721,141,869,608,796,544,172,170,177,366,772,179,164,352,27,935,98,719,215,192,386,23,974,31,903,79,56,41,876,264,899,895,802,371,346,499,803,39,350,127,214,62,717
850,544,361,579,234,652,709,70,55,300,679,594,141,138,758,324,641,564,989,669,325,131,376,838,158,319,251,213,595,193,698,642,125,682,274,961,888,413,548,416,719,917,99,86,429,320,67,236,892,375
614,795,163,273,5,342,184,110,4,593,181,478,334,900,182,172,271,898,264,176,865,399,59,65,649,68,916,681,224,406,465,158,455,853,95,664,669,810,934,973,96,580,728,727,583,299,723,106,225,349
430,650,497,343,457,632,444,707,13,767,11,897,553,837,814,718,197,854,752,605,46,582,670,806,217,964,454,684,276,26,747,374,591,269,118,754,161,751,559,759,176,749,297,28,838,334,223,154,700,589
3,309,252,745,879,472,489,727,771,724,935,84,933,957,160,259,478,708,103,266,308,341,741,461,229,452,241,363,239,105,516,890,243,896,475,245,485,157,582,172,824,781,403,13,524,877,825,632,244,847
69,532,673,283,61,470,829,760,221,662,752,263,219,701,223,509,634,471,347,691,539,237,199,542,729,767,970,22,947,529,389,821,297,416,489,475,129,137,390,112,929,224,202,961,293,693,408,806,664,325
324,27,930,159,997,923,345,239,793,427,363,557,120,640,685,965,172,902,352,20,611,482,683,141,357,635,325,626,216,986,787,625,156,360,19,814,485,323,380,967,644,221,786,904,246,481,785,693,21,922
117,261,319,409,963,258,182,433,698,474,369,938,384,729,301,193,245,860,547,580,927,281,800,495,929,572,20,237,445,444,339,457,102,550,972,427,587,579,386,662,376,640,439,253,17,39,247,556,189,555
590,586,589,209,737,438,526,808,358,165,366,750,969,208,203,510,970,505,495,615,624,844,544,270,387,619,238,137,416,149,481,148,527,627,568,129,831,613,463,85,389,413,134,385,982,467,673,430,109,110
929,610,362,35,668,141,646,670,510,6,642,232,277,674,13,920,465,427,166,488,834,792,878,429,569,44,535,901,381,451,365,176,655,685,61,705,60,748,836,576,99,160,768,457,817,447,271,600,981,423
679,863,731,907,118,404,560,389,727,185,885,168,74,472,533,313,290,711,855,944,951,990,644,719,367,536,935,869,717,151,85,391,317,545,766,58,683,553,556,83,397,769,732,349,487,797,327,776,412,19
132,314,350,610,261,496,60,20,239,27,17,109,498,525,184,801,789,77,37,943,517,173,165,170,571,775,161,639,33,894,242,194,632,957,735,94,93,7,162,383,265,883,684,764,677,489,573,428,727,546
229,23,118,318,206,735,245,32,344,15,407,966,242,879,68,67,28,107,744,69,827,177,270,434,634,740,285,328,71,21,475,765,311,219,657,999,686,252,907,145,31,388,636,198,477,235,882,650,128,795
535,68,632,729,413,946,774,862,857,810,165,125,955,460,615,775,807,883,301,356,806,767,238,846,690,685,727,589,721,776,755,793,345,50,138,20,682,825,897,907,818,786,183,827,357,840,916,514,527,606
472,685,668,875,440,135,474,445,228,674,254,695,59,101,653,169,885,776,552,193,491,551,490,47,94,155,984,982,713,856,557,787,588,835,131,290,738,448,721,466,991,741,465,983,478,810,266,357,520,171
764,369,725,58,651,278,995,759,878,592,781,996,736,5,791,264,806,240,169,14,210,665,509,568,567,687,762,283,129,835,68,792,809,954,279,502,765,24,788,871,755,896,825,807,598,520,700,789,641,119
807,928,79,269,990,68,737,799,224,829,186,755,667,272,778,724,484,860,645,230,30,738,694,536,912,830,754,665,921,936,952,171,595,877,202,878,748,992,122,96,648,669,654,948,923,980,436,579,433,328
695,523,144,766,1,558,477,673,322,139,0,381,854,898,620,622,638,630,231,74,978,733,48,428,735,810,84,538,956,784,536,434,330,129,416,516,588,58,615,896,40,361,479,71,701,534,75,652,257,549
778,699,738,721,244,739,357,922,510,561,238,682,104,91,79,240,75,715,193,573,167,910,20,927,983,602,663,957,149,339,862,764,356,98,553,371,432,777,524,279,626,166,572,453,70,304,907,65,905,936
369,471,778,490,839,837,237,68,66,716,591,496,69,133,74,665,326,462,70,50,563,884,645,459,176,71,908,450,740,64,247,489,360,196,719,785,970,417,550,638,996,343,358,264,969,718,112,570,362,987
671,841,578,291,986,502,366,742,987,43,166,585,714,335,355,248,564,672,358,160,609,739,625,633,717,35,568,814,991,551,930,168,218,594,386,766,390,992,768,227,222,610,831,604,620,542,409,375,214,28
270,309,203,807,879,449,515,311,511,959,528,136,323,527,842,404,313,814,21,737,984,777,428,749,526,198,220,547,970,860,402,141,347,826,496,580,631,39,910,935,18,998,90,611,148,57,605,591,482,797
778,923,92,208,784,723,483,414,964,188,46,907,40,636,45,920,801,805,581,783,136,500,592,596,603,236,591,725,947,770,639,951,903,472,462,60,243,293,992,1,440,400,630,485,5,736,98,628,776,651
